"productora","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Nick Wechsler Productions",6,6.14469065768481,17584354.1666667,33.180813
"American Entertainment Partners L.P.",2,7.25871446229914,41172998,33.006683
"Centropolis Entertainment",10,5.98173213172363,239243274.7,32.9619679
"RT Features",2,6.47453625632378,20496885.5,32.9059595
"Walden Media",18,6.32518117045247,95683231,32.9014685
"Waverly Films",4,6.80536635706914,147391441.25,32.8753295
"Marvel Knights",2,4.8851644506648,40903364,32.867388
"The Ladd Company",8,7.66376012965964,32966323.875,32.81296275
"Filmförderungsanstalt (FFA)",3,7.70480704129993,57094978.3333333,32.8059793333333
"Olive Bridge Entertainment",4,6.52030060511419,71940142.5,32.79742025
"Buckaroo Entertainment",4,5.8541296479105,18152837.75,32.796246
"Spring Creek Productions",5,6.78346409173205,58966114,32.7397838
"Woods Entertainment",2,6.91776103336921,94454425,32.6401195
"Bull's Eye Entertainment",2,7.14157018813314,69412539,32.592058
"Turman-Foster Company",2,7.60144605116796,-20185120,32.5471275
"Bedford Falls Company, The",3,7.05706657173371,174315872.666667,32.533792
"Nina Saxon Film Design",2,6.77918334667734,105713058,32.4134375
"United Plankton Pictures",2,6.19953596287703,173877912,32.4115115
"Brothers Dowdle Productions",2,6.40213869086196,42259436,32.25877
"Splendid Pictures",3,7.43317546767701,111243040.333333,32.243021
"Mark Johnson Productions",2,7.29719197707737,36334936,32.230981
"Horizon Pictures (II)",2,7.7610911701364,42647692.5,32.1981475
"Mace Neufeld Productions",10,6.69804079751066,86870889,32.1845186
"Mimran Schur Pictures",2,7.37213114754098,-7231583.5,32.1801005
"Government of Malta",2,6.55098418844789,305930982,32.1010015
"Marv Films",8,6.42013820335637,33949456.75,32.069635875
"Vertigo Entertainment",16,6.97077725612937,87329017.5,31.9967696875
"Electric City Entertainment",2,6.8,19684559.5,31.9826515
"Dune Entertainment III",26,6.35083953666923,76575027,31.8915684230769
"Versátil Cinema",2,7.29178885630499,61861144,31.88251
"Pariah",3,6.89855072463768,46562509.6666667,31.8469956666667
"Exclusive Media Group",10,6.78474187761611,36269330.8,31.8361046
"Blinding Edge Pictures",8,5.75000907605736,144068579.75,31.828118875
"Ombra Films",2,6.19281210592686,49900379,31.771396
"Open Road Films",10,6.0156191369606,16097265.5,31.7598273
"Original Film",30,6.3336648583484,131932911.866667,31.7541603666667
"Medienboard Berlin-Brandenburg",5,7.5052754982415,35737148,31.715143
"Hammer Film Productions",2,6.308229561451,57438174.5,31.690251
"Relativity Media",102,6.32565434545436,72488872.9607843,31.6839879901961
"Filmstiftung Nordrhein-Westfalen",5,7.52451822171341,49636120,31.6824054
"Universal Pictures",309,6.66392315080438,93490113.1812298,31.6681822653722
"Current Entertainment",7,6.24996250468691,14090754.2857143,31.6233161428571
"Crescendo Productions",2,7.00167400881057,27698754,31.601443
"Columbia Pictures",200,6.45929655693063,87451800.195,31.5782729
"Eric's Boy",3,6.2033966033966,187593168.666667,31.5368583333333
"Ontario Film Development Corporation",2,6.63005747126437,181997931,31.3858585
"Living Films",4,6.14876194189901,45090562,31.3784765
"Gulfstream Pictures",2,6.33516981132075,41747305,31.3441745
"FilmEngine",4,7.23063505042246,32063664,31.3207025
"Solaris Film",2,7.47777777777778,-397278.5,31.3093135
"Regione Lazio",2,7.49775280898876,863479,31.290918
"TF1 Films Production",16,6.45890300463803,31440211.75,31.2796466875
"Zadan / Meron Productions",2,6.80521978021978,85411255,31.232939
"Indian Paintbrush",9,7.40686274509804,23774778.7777778,31.2275164444444
"Parts and Labor",2,6.39741718135879,19528435.5,31.1265555
"LivePlanet",5,6.13119304059652,86672614.2,31.1172788
"Offspring Entertainment",7,6.30818884478797,63620046,31.0514801428571
"Carolco Pictures",9,7.02902855832091,118057682.666667,31.0466316666667
"Bedford Falls Productions",5,7.01788440567067,114634874.8,30.9277672
"Don Simpson/Jerry Bruckheimer Films",6,6.50996280122918,168013694.166667,30.8845841666667
"Warner Bros. Animation",6,7.30178130511464,67919315.5,30.8556863333333
"Reliance BIG Entertainment",5,6.00182589450387,51456439,30.7879006
"STX Entertainment",4,6.25587055362396,71864521,30.73775725
"The Mark Gordon Company",7,6.2370461964586,93735311,30.6632165714286
"Walt Disney",7,6.49009947155735,154238592,30.653928
"R.P. Productions",4,7.29506172839506,28197619.75,30.62011825
"Beverly Detroit",3,7.58910505836576,33324044,30.576184
"Nu Image Entertainment GmbH",3,6.180431510286,6948910,30.53952
"The Kennedy/Marshall Company",12,7.02490773623007,151046897.5,30.5358565833333
"Virgin Produced",4,5.39040740740741,46484145.25,30.514567
